#{"t_start": 1761578750.4681647, "env_id": "None"}
r,l,t
-405.0,96,168.331702
-394.0,107,168.460358
-405.0,96,168.567139
-470.0,31,168.599531
-470.0,31,168.6386
-405.0,96,168.751679
-470.0,31,168.788186
-470.0,31,168.825749
-470.0,31,168.866717
-470.0,31,168.905032
-470.0,31,168.946059
-393.0,108,169.092704
-228.0,174,169.351209
-470.0,31,169.393975
-405.0,96,169.501543
-470.0,31,169.568293
-383.0,118,169.704132
-470.0,31,169.738967
-405.0,96,169.839282
-405.0,96,169.947083
-405.0,96,170.054042
-405.0,96,170.148362
-405.0,96,170.242033
-278.0,124,173.571722
-405.0,96,173.683669
-470.0,31,173.719268
-405.0,96,173.829828
-470.0,31,173.867612
-405.0,96,173.974606
-405.0,96,174.065324
-405.0,96,174.15167
-405.0,96,174.234422
-470.0,31,174.259818
-470.0,31,174.287677
-405.0,96,174.368094
-403.0,98,174.477532
-228.0,174,174.660052
-405.0,96,174.80468
-470.0,31,174.849444
-404.0,97,174.973549
-405.0,96,175.101901
-405.0,96,175.201741
-470.0,31,175.234354
-389.0,112,175.347154
-470.0,31,175.377949
-402.0,99,175.472093
-393.0,108,175.581745
-405.0,96,175.708602
-405.0,96,178.521034
-405.0,96,178.621733
-470.0,31,178.652991
-470.0,31,178.682615
-470.0,31,178.711964
-470.0,31,178.740237
-405.0,96,178.825496
-405.0,96,178.918163
-470.0,31,178.947142
-405.0,96,179.042625
-400.0,101,179.125196
-470.0,31,179.153927
-279.0,123,179.254669
