#{"t_start": 1761573077.6086333, "env_id": "None"}
r,l,t
-90.5,96,117.070287
-90.5,96,118.409516
-90.5,96,118.527391
-90.5,96,118.669317
-90.5,96,118.800114
-90.5,96,118.933088
-90.5,96,119.070009
-90.5,96,119.233403
-90.5,96,119.361017
-90.5,96,119.48939
-90.5,96,119.62499
-90.5,96,119.75567
-90.5,96,119.866343
-90.5,96,119.980586
-90.5,96,120.147359
-90.5,96,120.281881
-90.5,96,120.415653
-90.5,96,120.543952
-90.5,96,120.675586
-90.5,96,120.794574
-90.5,96,120.911121
-90.2,99,121.029427
-90.5,96,122.178031
-90.5,96,122.3025
-90.5,96,122.442608
-90.5,96,122.582677
-90.5,96,122.707414
-90.5,96,122.822654
-90.4,97,122.926895
-90.5,96,123.026449
-90.5,96,123.131058
-90.5,96,123.249584
-90.5,96,123.356335
-90.5,96,123.476396
-90.5,96,123.59473
-90.5,96,123.709877
-90.5,96,123.834872
-90.5,96,123.955591
-90.5,96,124.063684
-90.5,96,124.216382
-90.5,96,124.367656
-90.5,96,124.521746
-90.3,98,124.691249
-90.5,96,125.927104
-90.5,96,126.043904
-90.5,96,126.157604
-90.5,96,126.289
-90.5,96,126.418269
-90.5,96,126.5477
-90.5,96,126.681873
-90.5,96,126.816464
-90.5,96,126.940586
-90.3,98,127.076301
-90.5,96,127.208766
-90.5,96,127.3263
-90.5,96,127.436906
-90.1,100,127.563365
-90.5,96,127.678496
-90.5,96,127.787979
-90.5,96,127.891678
-90.5,96,128.003655
-90.5,96,128.153201
-90.5,96,128.268723
-97.0,31,128.306672
-90.0,101,128.426585
-90.5,96,129.674306
-90.5,96,129.81968
-90.5,96,129.947065
-90.5,96,130.080269
-90.5,96,130.654206
-90.5,96,130.768513
-90.5,96,130.900085
-90.5,96,131.012459
-90.5,96,131.120975
-90.5,96,131.252596
-90.5,96,131.377422
-90.5,96,131.498887
-90.5,96,131.620412
-90.5,96,131.752689
-90.5,96,131.895288
-90.5,96,132.007695
-90.5,96,132.118275
-90.5,96,132.27509
-90.5,96,132.422576
-90.5,96,132.543926
-90.5,96,132.668485
-90.5,96,133.9676
-90.5,96,134.108546
-90.5,96,134.283751
-90.5,96,134.431064
-90.5,96,134.586064
-90.5,96,134.73996
-90.5,96,134.909165
-90.5,96,135.032453
-90.5,96,135.14379
-90.5,96,135.251228
-90.5,96,135.382532
-90.5,96,135.523932
-90.5,96,135.684814
-90.5,96,135.882562
-90.5,96,136.003302
-90.5,96,136.123818
-90.5,96,136.235584
-90.5,96,136.350808
-90.5,96,136.479402
-90.5,96,136.638529
-90.5,96,136.821043
-90.5,96,136.955117
-90.5,96,138.14901
-90.5,96,138.27092
-90.5,96,138.396063
-90.5,96,138.517518
-90.1,100,138.649923
-90.5,96,138.819196
-90.5,96,138.960463
-90.5,96,139.094303
-90.5,96,139.211615
-90.3,98,139.367138
-90.5,96,139.494328
-90.5,96,139.614742
-90.5,96,139.74352
-90.5,96,139.871981
-90.5,96,139.989031
-90.5,96,140.11997
-90.5,96,140.231036
-90.5,96,140.347091
-90.5,96,140.462926
-90.5,96,140.567924
-90.5,96,140.691589
-90.5,96,142.042009
-90.3,98,142.161194
-90.5,96,142.278625
-90.5,96,142.393716
-90.5,96,142.51847
-90.5,96,142.68001
-90.5,96,142.829506
-90.5,96,142.957457
-90.5,96,143.086566
-97.0,31,143.123357
-90.5,96,143.252611
-90.5,96,143.374645
-90.5,96,143.507128
-90.5,96,143.649272
-90.5,96,143.814547
-90.5,96,143.95827
-90.5,96,144.095965
-90.0,101,144.219525
-90.5,96,144.334282
-90.5,96,144.449383
-90.5,96,144.56522
-90.5,96,144.692232
-90.5,96,145.783916
-90.5,96,145.896161
-90.5,96,146.020229
-90.5,96,146.153977
-90.1,100,146.266631
-90.5,96,146.367226
-90.5,96,146.475014
-90.5,96,146.611044
-90.5,96,146.739879
-90.5,96,146.875525
-90.5,96,146.993738
-90.5,96,147.106951
-90.5,96,147.220322
-90.5,96,147.331182
-90.5,96,147.450627
-90.5,96,147.569668
-93.0,71,147.664533
-90.5,96,147.792059
-90.5,96,147.901856
-90.5,96,148.014791
-90.5,96,148.141247
-93.0,71,148.234027
-97.0,31,149.291493
-90.5,96,149.400323
-90.5,96,149.862218
-90.5,96,149.983878
-90.5,96,150.124148
-90.5,96,150.240069
-90.5,96,150.346289
-90.5,96,150.447257
-90.5,96,150.559022
-97.0,31,150.593742
-90.5,96,150.701252
-90.5,96,150.814897
-90.5,96,150.913805
-90.5,96,151.012105
-90.5,96,151.105135
-90.5,96,151.20594
-89.7,104,151.310853
-90.5,96,151.401812
-90.5,96,151.51917
-90.5,96,151.663543
-90.5,96,151.771343
-90.5,96,151.876497
-90.5,96,153.133605
-90.5,96,153.253063
-90.5,96,153.376324
-90.5,96,153.500648
-90.5,96,153.612633
-97.0,31,153.651468
-90.5,96,153.764855
-90.5,96,153.874418
-90.5,96,153.983757
-90.5,96,154.089135
-90.5,96,154.193707
-90.5,96,154.307311
-90.1,100,154.432238
-90.5,96,154.544236
-90.5,96,154.647567
-90.5,96,154.76757
-90.5,96,154.893231
-90.5,96,155.010525
-90.5,96,155.115671
-90.5,96,155.219159
-90.5,96,155.341274
-90.5,96,155.452606
-90.8,93,156.518857
-90.5,96,156.643395
-90.5,96,156.752933
-90.5,96,156.875332
-90.5,96,156.977937
-90.5,96,157.093357
